seq,name/first,name/last,age,street,city,state,zip,pick,date
171,Joshua,Gardner,45,Vucfi Turnpike,Tansopvu,AZ,26846,WHITE,08/08/1945
172,Alice,Webb,53,Wewug Circle,Boruvame,NC,64908,GREEN,05/08/2005
173,Joseph,Greer,63,Tukho Road,Wobkezbab,OK,21221,GREEN,10/23/2022
174,Edward,Mullins,49,Code Plaza,Tazepop,WI,70330,WHITE,10/30/2002
175,Terry,Castro,32,Gebnoz Terrace,Kezohac,AL,77659,GREEN,05/01/2008
176,Eula,Perry,36,Cadeg Mill,Wujnobu,RI,11658,WHITE,02/10/1904
177,Rebecca,Garza,30,Fejosu Path,Guwamru,SC,74045,RED,07/28/2024
178,Vincent,Beck,21,Nomoj River,Fudvedi,SC,61038,GREEN,02/16/1963
179,Sally,Tran,21,Anli Avenue,Jafpohos,GA,32771,WHITE,12/23/1932
180,Julia,Adams,51,Calcir Key,Suwzarcov,GA,78066,BLUE,05/08/2004
181,Charlotte,Carpenter,20,Odinod Path,Ivjulciz,RI,71380,RED,01/28/1913
182,Janie,Summers,48,Revap Terrace,Kikfuzoc,MA,12321,BLUE,04/15/1993
183,Emilie,Stephens,25,Tuzag Square,Varuko,GA,18228,BLUE,03/07/1901
184,Steve,Higgins,48,Huic Highway,Neezla,WV,43547,BLUE,10/05/1940
185,Birdie,Collins,43,Kodkiz View,Digcanmev,NC,82295,BLUE,11/13/1903
186,Georgia,Roberson,65,Zijju Boulevard,Vapvokluh,AL,53135,BLUE,08/09/2024
187,Annie,Barnes,32,Ijive Ridge,Besiat,IA,66580,GREEN,07/16/1966
188,Roger,Knight,22,Kufdo Glen,Fimhenpaj,GA,68457,GREEN,10/30/1986
189,Larry,Munoz,54,Gaas Highway,Juobewi,DC,08622,GREEN,05/28/1910
190,Sean,Herrera,34,Unauwu Manor,Umasivuwo,DC,99201,RED,12/11/1926
191,Andre,Singleton,36,Dosar Loop,Cenpohe,WA,38176,GREEN,12/31/1935
192,Lloyd,Cohen,37,Zegke Turnpike,Suzjatdiv,NE,73625,BLUE,10/01/2060
193,Ernest,Garner,56,Locma Key,Hufgifroc,WA,26180,BLUE,07/20/2050
194,Willie,Bryant,33,Wefzu Grove,Jazmugub,ND,03828,BLUE,01/20/1935
195,Nell,Harvey,44,Lulir River,Ramelvuh,WY,96244,YELLOW,10/01/2027
196,Lora,Ford,46,Burmob Way,Deohtem,NY,97477,YELLOW,11/07/1950
197,Allen,Roy,56,Agouzi River,Gaahge,KY,18630,YELLOW,10/08/2004
198,Harriet,Wheeler,52,Dobmu Key,Laljahe,MT,91200,YELLOW,01/22/1907
199,Cora,Lawrence,37,Puji Pike,Rebjecwu,MN,54255,BLUE,08/11/2025
200,Maude,Perez,28,Hefe View,Saizev,SD,45426,YELLOW,06/29/1924
201,Augusta,Bishop,53,Cosi Parkway,Sowdarwo,MD,53178,WHITE,12/25/2004
202,Duane,Robbins,20,Ozuco View,Fatminig,NC,00173,WHITE,02/20/1990
203,Milton,Wilson,59,Lawa Drive,Sajtucez,AR,96152,GREEN,10/15/2029
204,Jessie,Moss,21,Fapdes Park,Gopikap,NE,02331,RED,05/17/2036
205,Rodney,Price,57,Vijrad Ridge,Dacunga,TN,42031,BLUE,07/31/1968
206,Danny,Lambert,56,Robuco Parkway,Bolageuz,MS,01056,GREEN,09/09/2002
207,Luis,Newman,61,Agize Way,Tuubpoz,WY,71584,RED,06/22/1945
208,Kathryn,Thornton,50,Nasim View,Nofgiwnow,WV,78381,WHITE,10/06/2030
209,Gary,Frank,18,Ewege Extension,Apjutam,AK,12217,RED,10/14/2008
210,Willie,Miller,42,Beevu Avenue,Ufbupon,MN,02714,GREEN,05/16/1926
211,Essie,Johnston,61,Zivu Turnpike,Beikitek,VA,93876,RED,04/19/2037
212,Cornelia,Colon,37,Ezvot Court,Woofuif,FL,33398,BLUE,02/09/1963
213,Alberta,Morton,40,Tauda Loop,Acoruceve,MA,40169,WHITE,06/27/2032
214,Gary,Park,47,Metu Trail,Cubefki,IL,85092,RED,05/03/1917
215,Jared,Buchanan,64,Necwi Grove,Emkifan,PA,88505,YELLOW,04/01/1999
216,Emily,Soto,46,Obbi Lane,Jagmoov,DE,22253,GREEN,01/05/2031
217,Dorothy,Ruiz,28,Kacal Park,Perwokhec,HI,09718,WHITE,04/24/2028
218,Randall,Simon,34,Nebij Key,Ecdepno,MT,61003,BLUE,11/19/2053
219,Mildred,Buchanan,33,Tewi Pass,Futogva,OR,32798,BLUE,04/11/2067
220,Sam,Daniel,48,Huwzot Point,Hepfopbin,VT,81384,RED,04/10/2060
221,Jason,Brooks,59,Hajah Road,Olwoba,KY,00187,WHITE,05/13/1917
222,Johanna,Shaw,63,Bufedo Glen,Jedufeg,RI,42008,YELLOW,10/22/2009
223,Jon,Craig,25,Fumhag Glen,Owiluwo,CO,21482,BLUE,11/19/1993
224,Winnie,Wilkerson,31,Ahido View,Rokuzkuk,IA,41593,GREEN,01/17/2014
225,Albert,Graves,26,Nacpun Grove,Inifecip,AL,21265,BLUE,07/02/2041
226,Peter,Atkins,49,Guesi Court,Eziohkip,CO,32459,BLUE,03/27/1925
227,Julian,Thornton,23,Zigo Avenue,Moavvin,OK,56460,RED,03/13/2065
228,Ida,Burns,61,Ejibi Street,Fadgenaci,NC,13385,YELLOW,12/30/1991
229,Stella,Walters,56,Karza Trail,Rukimoc,MS,95242,YELLOW,12/30/2032
230,Betty,Lambert,47,Feppa Court,Dugivji,CO,68585,WHITE,04/10/1927
231,Mabel,Smith,21,Sive Highway,Pisutzid,VT,79277,RED,12/15/1918
232,Henrietta,Hansen,21,Wehco Pike,Vepikzut,TX,07633,GREEN,03/02/1974
233,Lillie,Barnett,45,Makso Drive,Ehgelgom,AZ,84814,GREEN,11/03/2048
234,Ella,Sims,36,Hino Lane,Nedoval,CT,02899,WHITE,06/20/2011
235,Johanna,Wilkins,36,Colke Road,Iredarzos,DE,57865,BLUE,07/02/1908
236,Bradley,Fuller,26,Ewimer View,Adosizo,UT,36373,GREEN,01/25/1959
237,Marvin,Hogan,52,Cobut Park,Kuwuhvuk,CA,85276,BLUE,04/04/2065
238,Eliza,McCarthy,39,Voez Highway,Munirga,AZ,74311,WHITE,08/26/1952
239,Linnie,Mullins,61,Niwih Road,Lehabtop,DC,45972,RED,07/08/2069
240,Harry,Gordon,53,Atjug Parkway,Ojiakute,OR,67120,WHITE,12/04/1915
241,Evelyn,Vaughn,53,Arwan Ridge,Wotopi,MA,49426,GREEN,05/15/2016
242,Dorothy,Webster,45,Fuha Point,Isowatu,PA,22123,BLUE,06/27/2069
243,Della,Guerrero,60,Fasef Parkway,Dedubpe,CT,89241,WHITE,02/18/2000
244,Andrew,Oliver,26,Cuzco Center,Iwadili,MA,42985,RED,09/12/2016
245,Sophie,Rice,18,Losde Avenue,Ahihuhzuk,ND,84988,WHITE,08/12/2000
246,Jayden,Lamb,41,Pecif River,Kezecap,FL,91014,BLUE,08/24/2002
247,Lucinda,Delgado,40,Sipkab Path,Bolugihu,NC,85352,YELLOW,11/06/2035
248,Charlie,Fuller,64,Zossah River,Walusuv,OR,10122,WHITE,08/23/1984
249,Claudia,Paul,55,Zekbac Terrace,Zisora,AK,12930,YELLOW,06/13/1994
250,Eugenia,Stanley,44,Muba River,Mujwupru,CO,06286,WHITE,07/27/2013
251,Bryan,Wise,36,Mice Drive,Jiijdoh,TN,88984,RED,12/02/2000
252,Cole,Joseph,18,Nufob Extension,Votoshuz,AL,69263,RED,11/28/1963
253,Lawrence,Poole,58,Polloh Road,Ewfubuk,WV,59499,WHITE,12/22/2049
254,Ronald,Keller,30,Maez Plaza,Futenpa,ME,05160,WHITE,10/20/1932
255,Douglas,Gutierrez,47,Vagtob Path,Zimopewa,NV,50894,BLUE,06/06/1957
256,Herman,Payne,42,Mihrum Glen,Melotuv,WI,38811,WHITE,04/03/1993
257,Garrett,Owen,49,Hoge Loop,Ujepaot,OK,10510,GREEN,04/24/1938
258,Howard,Becker,24,Iniev Pike,Fasicpol,NC,64385,RED,09/04/2067
259,Maurice,Goodwin,21,Sese Plaza,Futube,RI,83727,WHITE,12/13/1919
260,Olivia,Murphy,63,Ceot Highway,Torcubdos,CO,20731,YELLOW,04/13/2045
261,Matthew,Turner,31,Hoze Parkway,Renetihe,ID,83638,BLUE,06/12/2015
262,Willie,Hamilton,36,Zuku Turnpike,Vuklilo,ND,93260,RED,02/28/2018
263,Louise,Palmer,26,Natiwa Park,Henbusror,VT,84280,WHITE,08/23/1909
264,Larry,Warren,26,Tedzoj Drive,Muharoz,CO,34158,GREEN,01/14/2023
265,Sophie,Boyd,32,Nozuwa River,Udeupise,WY,83298,BLUE,12/30/2009
266,Jimmy,Graves,64,Fiheva Boulevard,Ekumotet,CT,86870,GREEN,06/08/1921
267,Julia,McGee,61,Wivoh Park,Enipogic,OR,20424,WHITE,09/03/1953
268,Chad,Garrett,41,Gecfi Park,Dohozig,OH,75262,WHITE,10/03/1979
269,Blake,Herrera,27,Seisu Grove,Hirabmap,AR,37881,RED,04/02/2044
270,Adeline,Fleming,21,Mazup Place,Vabkelu,WA,01634,GREEN,06/27/1968
271,Alex,Gregory,62,Fewfi Point,Fehejtoh,UT,34552,RED,10/29/1957
272,Kenneth,McCoy,57,Hiwla Avenue,Kuctibap,DC,17261,BLUE,08/18/1981
273,Sue,Carroll,53,Wobbuh Drive,Tetecru,AK,51963,YELLOW,06/12/2018
274,Isaiah,Jefferson,51,Pihej Court,Wasrejmac,IN,92911,YELLOW,06/06/2062
275,Delia,Bates,43,Foubo Plaza,Tarewece,MA,27175,BLUE,06/18/2024
276,Ora,Barrett,53,Jaebe Heights,Kegohhu,NH,15158,GREEN,07/01/1968
277,Jose,Sandoval,51,Feuto Highway,Cohagkor,NJ,78054,WHITE,12/03/1930
278,Clyde,Logan,21,Dummek Lane,Pigiwod,MA,00778,WHITE,09/22/1925
279,Elva,Tucker,59,Didim River,Moffadi,NH,29595,GREEN,03/26/1965
280,Ida,Shelton,23,Birko Road,Efkinto,AZ,34241,WHITE,08/06/2066
281,Russell,Tyler,46,Zawhu Ridge,Kasuddam,MI,66697,WHITE,06/23/2042
282,Chris,Dean,21,Juwad Court,Hubosaju,NC,54478,WHITE,01/04/1971
283,Herman,Zimmerman,31,Eputih View,Zeajju,ID,80813,BLUE,11/01/2009
284,Olive,Wade,21,Nola Avenue,Bidfokima,OR,94224,BLUE,11/07/2057
285,Joe,Meyer,27,Bafu Ridge,Ulsiero,CO,31286,RED,12/17/1942
286,Scott,Medina,57,Iwukek Court,Huwoblo,SD,86215,YELLOW,06/25/1955
287,Jeremiah,Campbell,65,Saedo Trail,Pokafo,DE,83862,YELLOW,06/02/2020
288,Theresa,Warner,47,Bufpob Terrace,Onocepma,DC,49401,BLUE,03/02/1952
289,Minnie,Coleman,38,Pougi Highway,Asofisi,DE,83153,BLUE,03/23/2013
290,Timothy,Crawford,41,Kidiv View,Ilasoju,MT,99813,WHITE,12/14/2005
291,Ida,Cruz,54,Ijobo Terrace,Nebacel,OH,82941,RED,12/26/1914
292,Henrietta,Ramirez,57,Huim Ridge,Mokagfaf,OR,65508,GREEN,08/22/2065
293,Fannie,Griffin,53,Ewejol Loop,Ocnoso,MO,12505,BLUE,09/12/1975
294,Ophelia,Carroll,42,Wiefe Street,Masabsal,TN,08795,BLUE,11/06/2042
295,Ethel,Reyes,31,Istac Heights,Kajenra,VT,67665,YELLOW,02/10/2052
296,Alex,Ellis,59,Ufsal Way,Bejpoda,KS,04280,YELLOW,02/18/1952
297,Verna,Nelson,51,Rijori Circle,Isuatesu,NH,45661,RED,07/14/2026
298,Sue,Carter,42,Cetjuk Manor,Ikkarpuc,SC,67281,WHITE,12/17/2027
299,Victoria,Porter,38,Teor Glen,Zererrif,CO,44228,RED,08/19/1965
300,Nina,Wheeler,20,Mijoh Drive,Bopecdoz,SD,34477,RED,06/10/2051
301,Gussie,Rogers,58,Leduc Place,Daguhoilu,IN,17122,BLUE,12/10/1980
302,Larry,Terry,57,Dawsos Center,Gaowdi,OR,47885,WHITE,05/22/2044
303,Jean,Duncan,31,Foic Court,Ijelof,NC,19662,RED,07/25/1904
